Time (s),AF1,AF2,AF7,AF8,AFZ,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPZ,CZ,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FCZ,FP1,FP2,FPZ,FT7,FT8,FZ,O1,O2,OZ,P1,P2,P3,P4,P5,P6,P7,P8,PO1,PO2,PO7,PO8,POZ,PZ,T7,T8,TP7,TP8,X,Y,nd
0.0,-2.146,1.129,-16.856,-10.02,-0.987,-1.129,2.747,-2.716,-0.926,-8.586,0.763,-1.77,-0.834,-1.851,-1.801,10.396,5.096,-0.478,-2.716,-0.407,0.529,-0.092,3.408,-9.288,12.624,-19.847,8.148,0.824,0.488,1.333,-6.846,-2.431,4.832,1.048,-8.921,0.834,-1.231,-10.162,-1.373,-0.071,-8.698,-7.477,-9.033,-4.313,-2.421,-4.72,-2.34,-5.412,-2.909,-6.755,-3.815,-6.643,-6.266,3.906,5.157,-6.266,-2.797,-6.805,-3.886,-9.338,-3.082,-5.269,-5.636,-8.901
0.00390625,-2.146,0.641,-7.09,-7.09,-1.475,-1.617,-1.16,-3.204,-2.879,-11.515,-0.702,-0.793,-1.322,0.59,-2.289,20.162,5.585,-0.966,-2.716,0.081,-0.936,0.397,1.455,-13.194,6.765,-12.522,1.801,0.824,-0.977,0.356,-5.87,-4.384,6.297,0.559,-8.433,3.276,0.722,-10.162,-2.35,-0.559,-12.604,-11.383,-12.451,-5.29,-3.886,-4.72,-3.805,-5.412,-4.862,-7.243,-4.791,-9.084,-7.731,10.254,7.111,-8.708,-4.262,-9.247,-5.839,-12.268,-4.059,-5.758,-2.706,-7.924
0.0078125,-1.658,-0.336,7.558,1.211,-0.987,0.336,0.305,1.678,2.492,-11.027,-1.678,-0.305,-1.811,1.567,-2.777,6.49,-0.763,-0.966,0.702,-0.407,-1.424,-1.068,0.478,-12.705,-1.048,1.149,-2.594,0.336,-1.465,-1.597,0.966,-5.361,5.809,0.559,-2.574,5.717,2.187,-0.397,-5.28,-1.048,-12.604,-11.383,-11.963,-5.29,-4.862,-4.232,-4.293,-4.435,-5.351,-5.778,-3.815,-9.084,-7.243,1.465,-2.655,-9.196,-4.262,-8.27,-4.374,-8.85,-3.571,-2.828,1.689,-3.042
0.01171875,-0.682,-0.824,19.277,10.488,-0.01,0.824,0.305,-0.275,2.981,-6.632,-0.214,-0.305,-1.322,2.055,-2.289,-0.346,2.655,-0.966,6.561,-1.383,0.041,-3.51,0.966,-7.823,-3.977,14.821,-4.547,-0.641,0.0,-3.062,6.826,-5.361,3.367,0.559,5.239,7.67,4.629,12.787,-3.815,-0.559,-8.698,-7.965,-8.545,-4.313,-3.886,-3.255,-3.805,-2.482,-4.374,-1.872,-1.373,-7.131,-4.801,5.371,-7.05,-6.755,-2.797,-3.876,0.02,-1.526,-1.129,1.567,5.595,4.771
0.015625,2.248,0.641,23.183,13.906,2.431,2.777,2.258,4.608,5.91,1.18,2.716,-0.305,-0.834,1.567,-0.824,6.002,4.12,-0.478,12.421,-1.383,2.482,-5.463,1.943,-0.01,-0.071,20.681,-5.035,-1.129,1.953,-3.062,6.337,-0.966,1.414,1.048,11.587,9.623,8.046,19.135,4.974,0.905,-3.326,-3.571,-3.662,-2.36,-1.933,-1.302,-1.851,0.448,-1.933,3.011,2.045,-3.713,-2.36,-12.207,-4.12,-3.337,-0.844,1.495,4.415,4.822,2.777,5.961,9.013,11.607
0.01953125,5.178,3.571,18.789,10.976,4.873,6.683,-2.625,16.327,1.516,9.969,5.157,-0.793,0.142,0.59,1.129,14.303,-11.993,0.01,14.862,-0.407,3.947,-4.486,2.92,8.291,6.276,17.263,-5.524,-1.617,3.418,-2.085,0.478,6.846,0.437,2.024,14.028,9.623,9.511,17.181,16.205,2.37,1.068,0.336,0.244,-0.407,-0.468,0.651,0.102,2.889,0.997,5.452,4.486,-0.783,0.081,-2.93,-13.885,-0.407,0.132,5.89,5.88,7.263,6.195,9.379,10.478,14.048
0.0234375,6.643,6.012,11.464,5.605,6.826,1.312,2.258,1.19,-0.437,15.828,6.134,-0.793,0.631,-0.387,2.106,9.42,0.702,0.01,13.885,1.546,3.947,-1.068,1.943,12.685,9.694,8.962,-4.547,-1.129,3.418,-0.132,-3.428,13.682,0.926,2.513,11.587,8.647,8.046,10.834,19.623,3.835,3.021,1.312,1.709,0.57,0.509,1.628,1.078,4.354,1.973,5.941,4.974,0.682,0.57,14.16,3.204,0.57,0.132,8.331,5.391,6.287,7.66,10.844,10.478,11.607
0.02734375,5.178,6.989,6.093,2.675,6.826,2.289,-2.136,0.214,-9.715,16.317,3.693,-1.282,0.142,-1.851,2.106,-7.67,-2.716,-0.478,10.956,3.988,2.97,3.326,0.478,12.685,6.765,0.173,-0.641,0.824,1.953,3.286,-0.987,15.635,1.902,2.513,6.704,5.229,3.652,4.974,9.369,4.323,2.533,0.824,0.732,0.57,0.02,1.139,1.078,3.866,1.485,4.476,2.533,1.17,0.081,15.625,5.646,0.081,-0.356,6.866,3.927,4.822,6.195,9.379,8.036,6.724
0.03125,1.76,5.524,2.187,2.187,4.384,0.824,-1.648,5.585,0.539,10.946,0.763,-1.282,-0.834,-2.34,0.641,9.42,-6.134,-1.455,6.561,4.476,1.994,6.744,0.478,7.314,0.417,-3.733,5.707,3.754,0.977,5.727,3.896,11.729,1.902,2.513,1.821,1.322,-1.231,1.556,-7.233,3.347,0.58,-1.617,-1.221,-0.407,-1.933,0.163,-0.875,1.912,-0.956,2.523,-3.326,-0.295,-1.872,-9.277,-5.096,-1.383,-1.821,4.425,1.485,4.822,1.801,5.473,3.642,1.841
0.03515625,-1.658,2.594,-1.231,2.187,0.966,-0.153,-0.671,3.143,-1.902,4.11,-1.678,-0.305,-2.299,-0.875,-1.312,2.584,3.143,-1.455,2.655,3.499,1.506,7.233,1.943,1.455,-3.977,-2.268,10.59,5.219,0.977,7.68,6.826,3.916,1.902,2.513,-1.109,-2.096,-3.672,-0.397,-16.022,1.882,-1.373,-3.571,-3.174,-1.383,-2.909,-0.326,-2.828,0.936,-3.886,1.546,-7.721,-1.76,-3.825,4.883,-8.026,-2.36,-2.309,1.495,-2.421,7.263,-5.035,1.078,-0.753,-1.577
0.0390625,-3.611,0.641,-4.649,-1.231,-1.963,10.59,-4.578,25.116,-11.18,-0.285,-2.655,0.671,-2.787,2.055,-2.777,-3.276,-5.646,-1.455,1.19,2.035,1.506,6.256,3.896,-3.428,-4.466,0.661,9.125,4.73,1.953,6.704,4.384,-3.408,0.926,2.513,-2.085,-4.049,-2.696,-1.373,-11.627,0.417,-2.35,-4.547,-3.662,-0.895,-3.398,-0.326,-4.293,0.936,-5.839,1.546,-9.186,-1.76,-4.313,-7.812,-3.143,-2.848,-2.309,0.031,-5.351,9.216,-9.918,-2.828,-2.706,-2.553
0.04296875,-1.658,0.153,-7.09,-6.602,-2.452,1.801,-0.671,-4.669,-5.809,-0.773,-2.655,1.648,-2.299,4.008,-3.265,3.56,-7.599,-0.966,3.143,1.058,1.506,5.28,4.384,-3.916,-1.048,2.614,1.801,3.265,2.441,3.286,-0.01,-5.361,-0.539,2.024,-1.597,-5.025,1.211,-0.885,0.58,0.417,-1.862,-3.571,-2.686,-0.407,-2.421,1.139,-4.293,1.424,-5.351,3.011,-5.768,-1.272,-3.337,-7.812,-6.073,-2.36,-1.333,1.495,-5.351,9.216,-9.918,-3.316,0.224,-1.088
0.046875,1.272,1.617,-5.625,-9.043,-0.01,-0.641,0.793,0.702,1.516,1.668,-1.678,2.136,-1.811,5.473,-2.289,-1.811,-3.693,0.01,8.026,1.546,1.506,4.791,2.92,-0.498,1.882,3.103,-6.5,1.312,1.953,1.333,-1.963,-0.966,-2.492,1.536,0.356,-5.025,3.652,1.068,7.416,0.905,-0.885,-2.594,-1.709,1.058,-1.444,2.604,-2.34,2.401,-3.398,3.988,0.092,-0.295,-1.383,-6.348,-8.514,-1.383,-0.356,5.402,-0.956,6.287,-4.547,0.59,5.595,0.865
0.05078125,3.225,3.082,-0.743,-6.114,2.431,2.289,-1.648,19.745,-2.879,1.668,-1.19,2.136,-0.834,4.008,-1.312,19.674,-2.228,0.498,12.421,2.035,1.506,3.815,0.966,3.408,2.37,2.614,-9.918,0.336,0.488,1.333,-1.475,5.381,-3.469,1.048,2.309,-5.025,1.699,1.556,5.463,1.394,-0.397,-1.617,-2.197,1.058,-0.468,2.116,-0.875,2.401,-0.956,3.988,3.51,-0.295,-0.895,3.906,-8.514,-1.383,-0.356,9.308,5.391,2.38,3.265,5.961,10.478,2.33
0.0546875,2.736,4.059,4.629,-0.254,2.92,-1.617,0.305,-16.876,0.051,-1.261,-1.19,1.16,-0.834,2.055,-1.312,9.42,-0.763,0.498,14.374,2.035,1.017,2.35,-0.498,5.361,0.417,3.103,-6.5,1.312,-0.977,2.797,-0.987,10.264,-3.469,1.048,2.797,-4.537,-3.184,2.533,0.092,1.394,-2.35,-3.082,-3.662,-0.407,-0.956,0.651,-0.875,1.424,-0.468,3.011,1.556,-1.76,-2.848,8.789,5.646,-2.848,-0.844,11.261,10.274,-0.061,8.636,9.379,10.966,3.306
0.05859375,0.295,3.571,8.046,5.117,1.943,-1.129,-0.183,-1.74,3.469,-5.168,-1.678,0.671,-1.811,0.102,-2.289,-20.854,-6.622,-0.478,12.421,0.57,0.529,-1.068,0.478,3.408,-1.048,4.567,-0.641,2.289,-0.977,4.751,-2.452,8.799,-1.516,1.048,2.309,-4.049,-6.114,3.021,-0.885,0.905,-4.791,-5.524,-6.104,-2.36,-2.909,-1.79,-2.34,-1.017,-2.909,1.058,-4.303,-4.69,-5.778,-2.441,-7.05,-4.801,-2.309,9.308,8.809,-1.038,7.172,8.891,7.06,1.841
